,1,2,5,10
1983-04-02,0.054945054945054944,0.01098901098901099,0.0,0.0
1983-04-16,0.05555555555555555,0.011111111111111112,0.0,0.0
1983-04-30,0.06521739130434782,0.010869565217391304,0.0,0.0
1983-05-14,0.06521739130434782,0.010869565217391304,0.0,0.0
1983-05-28,0.05263157894736842,0.010526315789473684,0.0,0.0
1983-06-11,0.052083333333333336,0.010416666666666666,0.0,0.0
1983-06-25,0.05154639175257732,0.010309278350515464,0.0,0.0
1983-07-09,0.020202020202020204,0.0,0.0,0.0
1983-07-23,0.020202020202020204,0.0,0.0,0.0
1983-08-06,0.010101010101010102,0.0,0.0,0.0
1983-08-20,0.020618556701030927,0.0,0.0,0.0
1983-09-03,0.03125,0.0,0.0,0.0
1983-09-17,0.03125,0.0,0.0,0.0
