,title,artist,rank,date,total_swear,percent_swear
23069,Dreamin Of The Past,Pusha T Featuring Kanye West,81,2022-05-07,8.0,0.013245033112582781
23070,Tomorrow Me,Luke Combs,61,2022-05-07,0.0,0.0
23071,About Damn Time,Lizzo,1,2022-07-30,13.0,0.03209876543209877
23072,Scrape It Off,Pusha T Featuring Lil Uzi Vert & Don Toliver,59,2022-05-07,7.0,0.013182674199623353
23073,Something In The Orange,Zach Bryan,11,2023-01-14,5.0,0.017857142857142856
23074,Leave You Alone,Kane Brown,91,2022-05-07,1.0,0.0028011204481792717
23075,Hate Our Love,Queen Naija & Big Sean,97,2022-05-07,6.0,0.0078125
23076,Rock N Roll,Pusha T Featuring Kanye West & Kid Cudi,78,2022-05-07,4.0,0.005494505494505495
23077,Flowers,Lauren Spencer Smith,68,2022-05-07,0.0,0.0
23078,Don't Think Jesus,Morgan Wallen,42,2022-05-07,2.0,0.00749063670411985
23079,Plan B,Megan Thee Stallion,29,2022-05-07,77.0,0.10799438990182328
23080,Brambleton,Pusha T,100,2022-05-07,21.0,0.04007633587786259
23081,Thousand Miles,The Kid LAROI,15,2022-05-07,2.0,0.005780346820809248
23082,Provenza,Karol G,27,2022-05-21,0.0,0.0
23083,Efecto,Bad Bunny,34,2022-05-21,0.0,0.0
23084,Moscow Mule,Bad Bunny,4,2022-05-21,0.0,0.0
23085,This Love (Taylor's Version),Taylor Swift,50,2022-05-21,0.0,0.0
23086,Aguacero,Bad Bunny,44,2022-05-21,0.0,0.0
23087,Dos Mil 16,Bad Bunny,45,2022-05-21,0.0,0.0
23088,Andrea,Bad Bunny & Buscabulla,51,2022-05-21,0.0,0.0
23089,La Corriente,Bad Bunny & Tony Dize,32,2022-05-21,2.0,0.004672897196261682
23090,Otro Atardecer,Bad Bunny & The Marias,49,2022-05-21,0.0,0.0
23091,Neverita,Bad Bunny,31,2022-05-21,0.0,0.0
23092,Party,Bad Bunny & Rauw Alejandro,14,2022-05-21,0.0,0.0
23093,Thought You Should Know,Morgan Wallen,9,2023-03-25,4.0,0.010282776349614395
23094,Puffin On Zootiez,Future,19,2022-05-21,35.0,0.04704301075268817
23095,Un Ratito,Bad Bunny,16,2022-05-21,0.0,0.0
23096,The Heart Part 5,Kendrick Lamar,15,2022-05-21,7.0,0.006944444444444444
23097,Me Porto Bonito,Bad Bunny & Chencho Corleone,6,2022-07-30,0.0,0.0
23098,Tarot,Bad Bunny & Jhay Cortez,18,2022-05-21,0.0,0.0
23099,Un Coco,Bad Bunny,56,2022-05-21,0.0,0.0
23100,Dua Lipa,Jack Harlow,21,2022-05-21,6.0,0.014184397163120567
23101,Yo No Soy Celoso,Bad Bunny,22,2022-05-21,0.0,0.0
23102,Churchill Downs,Jack Harlow Featuring Drake,23,2022-05-21,19.0,0.0187192118226601
23103,El Apagon,Bad Bunny,54,2022-05-21,0.0,0.0
23104,Ojitos Lindos,Bad Bunny & Bomba Estereo,26,2022-05-21,0.0,0.0
23105,Un Verano Sin Ti,Bad Bunny,55,2022-05-21,0.0,0.0
23106,Hold My Hand,Lady Gaga,49,2022-06-18,0.0,0.0
23107,Massaging Me,Future,87,2022-05-21,15.0,0.03836317135549872
23108,I'd Do Anything To Make You Smile,Jack Harlow,88,2022-05-21,8.0,0.0182648401826484
23109,Whiskey On You,Nate Smith,43,2023-02-11,1.0,0.0025252525252525255
23110,Frozen,Lil Baby,96,2022-05-21,16.0,0.02197802197802198
23111,Young Harleezy,Jack Harlow,97,2022-05-21,6.0,0.008333333333333333
23112,Titi Me Pregunto,Bad Bunny,5,2022-05-21,0.0,0.0
23113,Agosto,Bad Bunny,74,2022-05-21,0.0,0.0
23114,I'm On One,Future Featuring Drake,63,2022-05-21,20.0,0.03816793893129771
23115,712PM,Future,64,2022-05-21,21.0,0.03436988543371522
23116,Me Fui de Vacaciones,Bad Bunny,59,2022-05-21,0.0,0.0
23117,Ensename A Bailar,Bad Bunny,60,2022-05-21,0.0,0.0
23118,Love You Better,Future,61,2022-05-21,0.0,0.0
23119,Wait For U,Future Featuring Drake & Tems,3,2022-05-21,1.0,0.0013736263736263737
23120,Despues de La Playa,Bad Bunny,6,2022-05-21,0.0,0.0
23121,Fall In Love,Bailey Zimmerman,29,2022-10-22,0.0,0.0
23122,Father Time,Kendrick Lamar Featuring Sampha,73,2022-06-04,15.0,0.022123893805309734
23123,DFMU,Ella Mai,89,2022-06-18,12.0,0.022813688212927757
23124,Rich Spirit,Kendrick Lamar,61,2022-06-04,21.0,0.03255813953488372
23125,Hotel Lobby (Unc And Phew),Quavo & Takeoff,55,2023-01-14,26.0,0.04318936877076412
23126,We Cry Together,Kendrick Lamar & Taylour Paige,97,2022-06-04,166.0,0.141156462585034
23127,Savior,"Kendrick Lamar, Baby Keem, & Sam Dew",92,2022-06-04,8.0,0.015655577299412915
23128,Like I Love Country Music,Kane Brown,27,2022-07-16,0.0,0.0
23129,United In Grief,Kendrick Lamar,79,2022-06-04,1.0,0.0014534883720930232
23130,Count Me Out,Kendrick Lamar,78,2022-06-04,18.0,0.016885553470919325
23131,Silent Hill,Kendrick Lamar & Kodak Black,49,2022-06-04,21.0,0.03409090909090909
23132,Daydreaming,Harry Styles,24,2022-06-04,0.0,0.0
23133,N95,Kendrick Lamar,20,2022-06-04,19.0,0.024390243902439025
23134,Grapejuice,Harry Styles,15,2022-06-04,0.0,0.0
23135,Little Freak,Harry Styles,14,2022-06-04,0.0,0.0
23136,Daylight,Harry Styles,13,2022-06-04,0.0,0.0
23137,Music For A Sushi Restaurant,Harry Styles,8,2022-06-04,0.0,0.0
23138,Late Night Talking,Harry Styles,4,2022-06-04,0.0,0.0
23139,Matilda,Harry Styles,9,2022-06-04,0.0,0.0
23140,Satellite,Harry Styles,21,2022-06-04,0.0,0.0
23141,Cooped Up,Post Malone Featuring Roddy Ricch,12,2022-06-18,7.0,0.012567324955116697
23142,Die Hard,"Kendrick Lamar, Blxst & Amanda Reifer",41,2022-06-04,1.0,0.001718213058419244
23143,Cinema,Harry Styles,22,2022-06-04,0.0,0.0
23144,Keep Driving,Harry Styles,25,2022-06-04,0.0,0.0
23145,Boyfriends,Harry Styles,30,2022-06-04,0.0,0.0
23146,Love Of My Life,Harry Styles,29,2022-06-04,0.0,0.0
23147,You Proof,Morgan Wallen,5,2022-10-22,0.0,0.0
23148,Distraction,Polo G,39,2022-06-18,10.0,0.01763668430335097
23149,I Cannot Be (A Sadder Song),Post Malone Featuring Gunna,46,2022-06-18,4.0,0.007766990291262136
23150,Wrapped Around Your Finger,Post Malone,47,2022-06-18,3.0,0.005859375
23151,I Like You (A Happier Song),Post Malone Featuring Doja Cat,4,2022-10-22,6.0,0.009244992295839754
23152,Euthanasia,Post Malone,100,2022-06-18,0.0,0.0
23153,Love/Hate Letter To Alcohol,Post Malone Featuring Fleet Foxes,70,2022-06-18,6.0,0.021660649819494584
23154,Vegas,Doja Cat,10,2022-10-22,4.0,0.007194244604316547
23155,Ghost Story,Carrie Underwood,68,2022-10-08,0.0,0.0
