,title,artist,rank,total_swear,percent_swear
1685,Breathin,Ariana Grande,13,2,0.011834319526627219
1686,Breathless,Taylor Swift,72,0,0.0
1687,Breathless,The Corrs,34,0,0.0
1688,Brian Wilson,Barenaked Ladies,68,1,0.006134969325153374
1689,Bridge Over Troubled Water,Glee Cast,73,0,0.0
1690,Bridge Over Troubled Water,Tessanne Chin,64,0,0.0
1691,Bridging The Gap,Nas Featuring Olu Dara,94,0,0.0
1692,Bright,Echosmith,42,0,0.0
1693,Bright Lights,matchbox twenty,23,0,0.0
1694,Brighter Than The Sun,Colbie Caillat,47,1,0.0045662100456621
1695,Brilliant Disguise,Bruce Springsteen,5,1,0.00819672131147541
1696,Bring Down The Moon,Boy Meets Girl,52,0,0.0
1697,Bring Em Out,T.I.,9,6,0.013157894736842105
1698,Bring It All Back,Grayson Hugh,89,0,0.0
1699,Bring It All To Me,Blaque,5,0,0.0
1700,Bring It Back,Travis Porter,75,24,0.045627376425855515
1701,Bring It On,Keith Washington,64,0,0.0
1702,Bring It On Home,Little Big Town,60,0,0.0
1703,Bring Me To Life,Evanescence Featuring Paul McCoy,6,0,0.0
1704,Bring On The Rain,Jo Dee Messina With Tim McGraw,36,0,0.0
1705,Bring Out The Freak In You,Lil Rob,86,4,0.022598870056497175
1706,Bring The Hook,YoungBoy Never Broke Again,61,34,0.05733558178752108
1707,Bring The Pain,Method Man,45,15,0.046012269938650305
1708,Bringin' On The Heartbreak,Def Leppard,61,0,0.0
1709,Broadway,Goo Goo Dolls,24,1,0.005376344086021506
1710,Broadway Girls,Lil Durk Featuring Morgan Wallen,14,4,0.015503875968992248
1711,Broccoli,D.R.A.M. Featuring Lil Yachty,5,22,0.06896551724137931
1712,Broke Boys,Drake & 21 Savage,12,12,0.031914893617021274
1713,Broke In A Minute,Tory Lanez,64,22,0.11055276381909548
1714,Broken,Lifehouse,83,0,0.0
1715,Broken,lovelytheband,29,0,0.0
1716,Broken Arrow,Rod Stewart,20,0,0.0
1717,Broken Clocks,SZA,82,1,0.004166666666666667
1718,Broken Halos,Chris Stapleton,51,0,0.0
1719,Broken Hearted Me,Anne Murray,92,0,0.0
1720,Broken Land,The Adventures,95,0,0.0
1721,Broken Promises,Summer Walker,76,4,0.03418803418803419
1722,Broken Wings,Mr. Mister,1,0,0.0
1723,Brokenhearted,Brandy,9,0,0.0
1724,Brokenhearted,Karmin,18,0,0.0
1725,Brokenheartsville,Joe Nichols,30,1,0.008849557522123894
1726,Brooklyn Girls,Robbie Dupree,56,0,0.0
1727,Brooklyn Zoo,Ol' Dirty Bastard,54,31,0.09567901234567901
1728,Brotha,Angie Stone,52,0,0.0
1729,Brown Sugar,D'Angelo,27,0,0.0
1730,Bruce,Rick Springfield,29,0,0.0
1731,Brutal,Olivia Rodrigo,12,1,0.007575757575757576
1732,Bubble Butt,"Major Lazer Featuring Bruno Mars, Tyga & Mystic",56,8,0.0182648401826484
1733,Bubbly,Colbie Caillat,5,0,0.0
1734,Bubbly,Young Thug With Drake & Travis Scott,45,12,0.03896103896103896
1735,Bucktown,Smif-N-Wessun,97,1,0.002320185614849188
1736,Budapest,George Ezra,32,0,0.0
1737,Buddy X,Neneh Cherry,43,0,0.0
1738,Budget,Megan Thee Stallion Featuring Latto,87,27,0.059602649006622516
1739,Buffalo Stance,Neneh Cherry,4,0,0.0
1740,Bug A Boo,Destiny's Child,38,1,0.002770083102493075
1741,Bugatti,Ace Hood Featuring Future & Rick Ross,38,15,0.03614457831325301
1742,Build A Bitch,Bella Poarch,57,15,0.08064516129032258
1743,Building A Mystery,Sarah McLachlan,13,1,0.008928571428571428
1744,Building Bridges,Brooks & Dunn With Sheryl Crow & Vince Gill,66,0,0.0
1745,Bullet With Butterfly Wings,The Smashing Pumpkins,22,0,0.0
1746,Bulletproof,La Roux,10,0,0.0
1747,Bullets In The Gun,Toby Keith,85,0,0.0
1748,Bully,Shinedown,94,2,0.010869565217391304
1749,Bump N' Grind,R. Kelly,1,0,0.0
1750,"Bump, Bump, Bump",B2K & P. Diddy,2,2,0.005063291139240506
1751,Bumpin' The Night,Florida Georgia Line,69,0,0.0
1752,Burn,Ellie Goulding,13,1,0.0038022813688212928
1753,Burn,Jo Dee Messina,42,0,0.0
1754,Burn,Juice WRLD,74,3,0.013215859030837005
1755,Burn,Militia,54,2,0.005128205128205128
1756,Burn,Usher,1,0,0.0
1757,Burn It Down,Linkin Park,30,0,0.0
1758,Burn It Down,Parker McCollum,77,0,0.0
1759,Burn Out,Midland,63,0,0.0
1760,Burn Rubber (Why You Wanna Hurt Me),The Gap Band,85,0,0.0
1761,"Burn, Burn, Burn",Zach Bryan,100,2,0.00904977375565611
1762,Burnin' For You,Blue Oyster Cult,40,0,0.0
1763,Burnin' It Down,Jason Aldean,12,0,0.0
1764,Burnin' Up,Jessie J Featuring 2 Chainz,86,2,0.006756756756756757
1765,Burnin' Up,Jonas Brothers,8,0,0.0
1766,Burning Down One Side,Robert Plant,64,0,0.0
1767,Burning Down The House,Talking Heads,12,0,0.0
1768,Burning Flame,Vitamin Z,73,2,0.01282051282051282
1769,Burning Heart,Survivor,2,0,0.0
1770,Burning Heart,Vandenberg,39,0,0.0
1771,Burning House,Cam,47,0,0.0
1772,Burning Like A Flame,Dokken,72,0,0.0
1773,Burning Man,Dierks Bentley Featuring Brothers Osborne,47,0,0.0
1774,Bury A Friend,Billie Eilish,14,0,0.0
1775,Bury Me In Georgia,Kane Brown,34,1,0.006097560975609756
1776,Buss It,Erica Banks,47,29,0.10211267605633803
1777,Bust A Move,Glee Cast,93,1,0.0033333333333333335
1778,Bust A Move,Young M.C.,9,1,0.002890173410404624
1779,Bust It Baby Part 2,Plies Featuring Ne-Yo,8,0,0.0
1780,Bust Your Windows,Jazmine Sullivan,31,0,0.0
1781,Busy Man,Billy Ray Cyrus,46,0,0.0
1782,But For The Grace Of God,Keith Urban,37,0,0.0
1783,But I Got A Beer In My Hand,Luke Bryan,91,3,0.017142857142857144
1784,But It's Alright,Huey Lewis & The News,54,0,0.0
1785,But You Know I Love You,Dolly Parton,41,0,0.0
1786,Butta Love,Next,16,1,0.003436426116838488
1787,Butter,BTS,1,0,0.0
1788,Butterflies,Michael Jackson,14,1,0.004424778761061947
1789,Butterfly,Crazy Town,1,0,0.0
1790,Butterfly Doors,Lil Pump,81,7,0.029787234042553193
1791,Butterfly Effect,Travis Scott,50,0,0.0
1792,Butterfly Fly Away,Miley Cyrus & Billy Ray Cyrus,72,0,0.0
1793,Button Off My Shirt,Paul Carrack,91,0,0.0
1794,Buttons,The Pussycat Dolls Featuring Snoop Dogg,4,0,0.0
1795,Buy Dirt,Jordan Davis Featuring Luke Bryan,24,0,0.0
1796,Buy Me A Boat,Chris Janson,42,1,0.006329113924050633
1797,Buy Me A Rose,Kenny Rogers With Alison Krauss & Billy Dean,40,0,0.0
1798,Buy My Own Drinks,Runaway June,88,0,0.0
1799,Buy U A Drank (Shawty Snappin'),T-Pain Featuring Yung Joc,1,1,0.003067484662576687
1800,Buzzin',Mann,63,1,0.002898550724637681
1801,Buzzin',Shwayze Featuring Cisco Adler,51,1,0.004291845493562232
1802,Buzzkill,Luke Bryan,74,1,0.00641025641025641
