,Unnamed: 0.1,Unnamed: 0,title,artist,rank,date,lyrics_x,lyrics_y,final_lyrics,lyrics-scraped
5909,5909,20498,A Working Man's Prayer,Arthur Prysock,76,1968-01-13,,,,
5910,5910,20497,(1-2-3-4-5-6-7) Count The Days,Inez & Charlie Foxx,97,1968-01-13,,,,
5911,5911,20496,Without Love (There Is Nothing),"Oscar Toney, Jr.",96,1968-01-13,,,,
5912,5912,20494,Born Free,The Hesitations,94,1968-01-13,,,,
5916,5916,20476,Mission-Impossible,Lalo Schifrin,88,1968-01-13,,,,
5917,5917,20485,Do Unto Me,James & Bobby Purify,85,1968-01-13,,,,
5918,5918,20484,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,84,1968-01-13,,,,
5920,5920,20482,I Can Take Or Leave Your Loving,Herman's Hermits,82,1968-01-13,,,,"I don't need her
Don't need her kind of heartache and pain
She's gonna have to see
Things now can never be the same again

I won't miss her
Well, maybe I'll miss her once in a while
She thinks I'm gonna die
Now that she's said goodbye
But she's so wrong
Her eyes just smile

Baby baby, don't you believe it?
When it comes to your lovin', I can take it or leave it
Baby baby, don't you believe it?
When it comes to your lovin', I can take it or leave it
I can take or leave your lovin'
I can take or leave your lovin'

I'm not sorry
I still think we're better apart
She says she's gonna see
A day when there's gonna be a change of heart

Baby baby, don't you believe it?
When it comes to your lovin', I can take it or leave it
Baby baby, don't you believe it?
When it comes to your lovin', I can take it or leave it
I can take or leave your lovin'
I can take or leave your lovin'"
5941,5941,20505,Blessed Are The Lonely,Robert Knight,97,1968-01-20,,,,
5942,5942,20504,Hey Boy Take A Chance On Love,Ruby Andrews,92,1968-01-20,,,,
5943,5943,20502,Give My Love A Try,Linda Jones,94,1968-01-20,,,,
5954,5954,20664,A Million To One,Five Stairsteps & Cubie,68,1968-02-24,,,,
5955,5955,20665,Burning Spear,The Soulful Strings,69,1968-02-24,,,,
5956,5956,20669,I Say Love,The Royal Guardsmen,73,1968-02-24,,,,
5957,5957,20670,Lovey Dovey,Otis & Carla,74,1968-02-24,,,,
5958,5958,20668,(You've Got) Personality And Chantilly Lace,Mitch Ryder,87,1968-02-24,,,,
5959,5959,20663,That's A Lie,Ray Charles,86,1968-02-24,,,,
5961,5961,20658,In The Midnight Hour,The Mirettes,61,1968-02-24,,,,
5962,5962,20657,Playboy,Gene And Debbe,60,1968-02-24,,,,"Hey boy, to me you're just a playboy
Never mean a word you say, boy
I'm so afraid you'll go away and leave me lonely
Why girl do you believe a lie girl

Why can't you see that you're my girl
Believe me when I say to you
I love you only
And never knew that love could hurt me like this

Till you came along with your kiss
Then I fell under your spell
Knowing quite well that you would only hurt me
Gee girl why can't I make you see girl

Just what you mean to me girl
Then you would know I'd never go away without you
Oh boy I wish that I could know boy
If what you say is so boy

Then I would never care what they all say about you
I never knew that love could hurt me like this
Till you came along with your kiss
Then I fell knowing quite well

That someone would tell you I would only hurt you
Hey now does it matter what they say
Gonna love you anyway now
If you and I would fight together
I know we'll find love"
5963,5963,20655,Got What You Need,The Fantastic Johnny C,58,1968-02-24,,,,
5964,5964,20654,Love Is Blue,Al Martino,57,1968-02-24,,,,
5965,5965,20652,Country Girl - City Man,Billy Vera & Judy Clay,55,1968-02-24,,,,
5967,5967,20676,Music Music Music,The Happenings,96,1968-02-24,,,,
5968,5968,20650,Love Explosion,Troy Keyes,93,1968-02-24,,,,
5969,5969,20697,Springfield Plane,Kenny O'Dell,94,1968-02-24,,,,
5970,5970,20695,Love Is Blue (L'Amour Est Bleu),Manny Kellem - His Orchestra And Voices,100,1968-02-24,,,,
5972,5972,20690,"(Mama Come Quick, and Bring Your) Lickin' Stick",George Torrence & The Naturals,91,1968-02-24,,,,
5973,5973,20675,Hey Hey Bunny,John Fred And The Playboys,89,1968-02-24,,,,
5975,5975,20677,Where Is My Mind,The Vanilla Fudge,83,1968-02-24,,,,"Where is my mind

Where is my mind
A passing breeze, it looked at me as it would blow
I felt a fire chilling in my mind below
The spirits laughed as when I told a joke
I felt the light shine on my face and I awoke

Where is my mind?
Where is my mind?

When the birds would sing off key it was their sign
That the water in the fountain turned to wine
A burning bush, it spoke to me as it would glow
And it personifies something that we all know

Where is my mind?
Where is my mind?

Come on

Oh Where is my mind?
Where is my mind? (repeated)"
5976,5976,20698,Ame Caline (Soul Coaxing),Raymond Lefevre and His Orchestra,99,1968-02-24,,,,
5978,5978,20605,Simon Says,1910 Fruitgum Co.,6,1968-02-24,,,,
5980,5980,20624,The End Of Our Road,Gladys Knight And The Pips,30,1968-02-24,,,,"[Verse 1]
I've gotta get away from you fast as I can
Too much for me woman more than my heart could stand
Like a kid behind the wheel
You been reckless with my heart
If I stay around you sure to tear it all apart

[Chorus]
Said the road's got to end somewhere, oh
Every road has got to end somewhere
Now is the time for the showdown
So let me give you the low down
We've come to the end of our road

[Verse 2]
Just think about all the nights you left me at home lonely
You only did it 'cause you know I loved you only
Runnin', 'round with every girl in town
I'm telling you boy no longer will I be your clown

[Chorus]
Said the road's got to end somewhere
Said every road has got to end somewhere
Sick and tired of your stuff
Said enough is enough
We've come to the end of our road
Whoa
[Bridge]
No, no, no
Somewhere baby I just got to go

[Verse 3]
You made more sense when you begged and you pleaded
Talkin' 'bout I'm the one you're needing
Said I done had my fill of you
Hurt me some through the years
I just broke up running out of tears
Tell you I couldn't cry if I wanted to

[Chorus]
Said he road's got to end somewhere
Every roads got to end somewhere
Time and again I begged you to slow down
So I'm giving you the low down
We've come to the end of our road

[Outro]
(Take us to the end of our road)
I can't take baby
(This is the end of our road)
Oh yes it is yes it is
(This is the end of our road)
Whoa whoa whoa
(This is the end of our road)
I can't take it baby"
5982,5982,20634,Dance To The Music,Sly & The Family Stone,41,1968-02-24,,,,"[Intro: Cynthia Robinson]
Say, get up and dance to the music!
Get on up and dance to the music!

[A Cappella Break: Sly Stone, Freddie Stone, Larry Graham]

[Chorus: All, Greg Errico, Freddie Stone]
Dance to the music
Dance to the music
Dance to the music
Dance to the music (Hey, Greg) What?

[Verse 1: Freddie Stone]
All we need is a drummer
For people who only need a beat, yeah
I'm gonna add a little guitar
And make it easy to move your feet

[Verse 2: Larry Graham, Sly Stone]
I'm gonna add some bottom
So that the dancers just won't hide
You might like to hear my organ
I said ride, Sally, ride, now


[Bridge: Freddie Stone, Cynthia Robinson, Jerry Martini]
Cynthia (What?) Jerry (What?)
If I could hear the horns blow
Cynthia on the throne, yeah

Listen to me, Cynthia and Jerry
Got a message they're sayin'
All the squares, go home (Yeah)
Yeah, ooh
Listen to the voices
[A Cappella Break: Sly Stone, Freddie Stone, Larry Graham]

[Outro: All, Sly Stone]
Dance to the music (Ah-ha)
Dance to the music (Yeah, yeah, yeah)
Dance to the music (Oh, now, now)
Said, dance to the music (Yeah)
Dance to the music (Yeah)
Dance to the music
Dance to the music"
5985,5985,20625,Too Much Talk,Paul Revere & The Raiders Featuring Mark Lindsay,34,1968-02-24,,,,
5999,5999,20750,Sally Was A Good Old Girl,Trini Lopez,99,1968-03-09,,,,
6000,6000,20721,L. David Sloane,Michele Lee,86,1968-03-09,,,,
6004,6004,20722,Driftin' Blues,Bobby Bland,96,1968-03-09,,,,
6006,6006,20707,(Sittin' On) The Dock Of The Bay,King Curtis & The Kingpins,89,1968-03-09,,,,
6008,6008,20700,Funky North Philly,Bill Cosby,91,1968-03-09,,,,
6010,6010,20749,Soul Serenade,Willie Mitchell,74,1968-03-09,,,,
6011,6011,20745,Young Girl,The Union Gap Featuring Gary Puckett,52,1968-03-09,,,,
6031,6031,20815,Come To Me Softly,Jimmy James & The Vagabonds,76,1968-03-30,,,,
6033,6033,20808,Cinderella Rockefella,Esther & Abi Ofarim,90,1968-03-30,,,,
6034,6034,20810,Take Good Care Of My Baby,Bobby Vinton,84,1968-03-30,,,,"My tears are fallin'
'cause you've taken her away
And though it really hurts me so
There's something that I've gotta say

Take good care of my baby
Please don't ever make her blue
Just tell her that you love her
Make sure you're thinking of her
In everything you say and do

Aww, take good care of my baby
Now don't you ever make her cry
Just let your love surround her
Paint a rainbow all around her
Don't let her see a cloudy sky

Once upon a time that little girl was mine
If I'd been true
I know she'd never be with you

So, take good care of my baby
Be just as kind as you can be
And if you should discover
That you don't really love her
Just send my baby back home to me
Well, take good care of my baby
Be just as kind as you can be
And if you should discover
That you don't really love her
Just send my baby back home to me

Aww, take good care of my baby
Well, take good care of my baby
Just, take good care of my baby"
6039,6039,20837,Dr. Jon (The Medicine Man),Jon & Robin And The In Crowd,88,1968-03-30,,,,
6041,6041,20834,Stay Away,Elvis Presley With The Jordanaires,73,1968-03-30,,,,
6043,6043,20830,The Impossible Dream,The Hesitations,69,1968-03-30,,,,
6044,6044,20967,Goodbye Baby (I Don't Want To See You Cry),Tommy Boyce & Bobby Hart,70,1968-04-06,,,,
6050,6050,20999,Chain Of Fools (Part 1),Jimmy Smith,100,1968-04-06,,,,
6051,6051,20997,Baby You're So Right For Me,Brenda & The Tabulations,98,1968-04-06,,,,"Honey, baby, ooh, you just slay me
Cause you're so good in every way
Never again will I be lonely if you
Just promise that you're gonna stay
Cause

[Chorus:]
Baby, you're so right for me
I knew it when you came along
Oh, you're just my cup of tea (cup of tea)
And you're just so right for me
A love like this could never go wrong

Oh baby, cause you got what it takes
And boy, we were born to fall in love
We've got a lot of things in common
We go together like a hand and glove

[Chorus]
Baby, you're so right for me
I knew it when you came along
Oh, you're just my cup of tea (cup of tea)
And you're just so right for me
A love like this could never go wrong

Sugar sweety, if you should leave me
I wouldn't know where to find someone new
Cause I know you're one in a million
Nobody else could ever replace you
[Chorus]
Baby, you're so right for me
I knew it when you came along
Oh, you're just my cup of tea (cup of tea)
And you're just so right for me
A love like this could never go wrong

No, no, no, baby
A love like this could never go wrong
Now do you read me, baby
A love like this could never go wrong
No, no, no, no...

A love like this could never go wrong
Hey, Hey, Hey
A love like this could never go wrong"
6055,6055,20986,Up On The Roof,The Cryan' Shames,86,1968-04-06,,,,"Goffin-King

When this old world starts a getting me down
And people are just too much for me to face
I'll climb way up to the top of the stairs
And all my cares just drift right into space
On the roof, it's peaceful as can be
And there the world below don't bother me, no, no

So when I come home feeling tired and beat
I'll go up where the air is fresh and sweet
I'll get far away from the hustling crowd
And all the rat-race noise down in the street
On the roof, that's the only place I know
Look at the city, baby
Where you just have to wish to make it so
Let's go up on the roof
And at night the stars they put on a show for free
And, darling, you can share it all with me
That's what I said
Keep on telling you
That right smack dab in the middle of town
I found a paradise that's troubleproof
And if this old world starts a getting you down
There's room enough for two
Up on the roof..."
6070,6070,21067,Impossible Mission (Mission Impossible),Soul Survivors,72,1968-04-20,,,,
6073,6073,21060,If You Don't Want My Love,Robert John,77,1968-04-20,,,,
6076,6076,21075,Funky Walk Part I (East),Dyke And The Blazers,74,1968-04-20,,,,
6078,6078,21095,Never Get Enough Of Your Love,"Oscar Toney, Jr.",95,1968-04-20,,,,
6079,6079,21094,The Shadow Of Your Love,5 Stairsteps and Cubie,94,1968-04-20,,,,
6080,6080,21093,Love In Them There Hills,The Vibrations,93,1968-04-20,,,,
6083,6083,21085,May I Take A Giant Step (Into Your Heart),1910 Fruitgum Co.,86,1968-04-20,,,,
6084,6084,21082,Cabaret,Herb Alpert & The Tijuana Brass,83,1968-04-20,,,,
6085,6085,21079,Goin' Away,The Fireballs,80,1968-04-20,,,,
6094,6094,21031,A Beautiful Morning,The Rascals,31,1968-04-20,,,,
6101,6101,21151,He Don't Really Love You,The Delfonics,93,1968-05-04,,,,"He don't really love you, girl
As much as I do, oh
He's only gonna try his best
To make a fool of you because

(He don't really love you)
Like I do
(He don't really love you)
Like I do (like I do) baby
Like I do, yeah

I can remember
How you kiss so fine
Now that you left me
What will I do
What will I do, girl

And I said
(He don't really love you)
And what am I gonna say now
(He don't really love you)

(He don't really love you)
And what am I gonna say now
(He don't really love you)
I said
(He don't really love you)
And what am I gonna say now
(He don't really love you)
Can't you see me crying

(He don't really love you)
Girl, I'm slowly dying
(He don't really love you)"
6108,6108,21185,Lili Marlene,Al Martino,96,1968-05-04,,,,
6109,6109,21183,I Have A Dream,"Rev. Martin Luther King, Jr.",92,1968-05-04,,,,
6110,6110,21178,Chain Gang,Jackie Wilson & Count Basie,86,1968-05-04,,,,
6117,6117,21138,Here's To You,Hamilton Camp,99,1968-05-04,,,,
6120,6120,21269,The Horse,Cliff Nobles & Co.,71,1968-05-25,,,,
6122,6122,21261,Licking Stick - Licking Stick (Part 1),James Brown And The Famous Flames,75,1968-05-25,,,,"OH!
Mama, come here quick
And bring that licking stick
Mama, come here quick
And bring that licking stick
Mama, come here quick
And bring me that licking stick - horns
Mama, come here quick
And bring me that licking stick
Mama, come here quick
And bring me that licking stick

People standing
Standing in a trance
Sister out in the backyard
Doing the outside dance
Come and telling me the other day
She didn't wanna be a drag
I don’t know what she's doing
I think she's got a brand new bag

Mama, come here quick
And bring me that licking stick
Mama, come here quick
And bring that licking stick
Now looka here
Junior don’t kill me
With the lazy strokes
When he take his feet right off the ground
Doing the Mashed Potatoes, and then he begin to slide
Call himself doing the James Brown
Sister says the dance you're doing is the latest thing
People now begin to talk
She jumped back in, that soulful stride
Baby, now she's doing the Camel Walk

Mama, come here quick
And bring me that licking stick - whoop her
Mama, come here quick - get it
And bring that licking stick
Mama, come here quick
And give me that licking stick
Sister, get out there with your bad self
Ha, one more time
Mama, come here quick
And bring that licking stick

Maceo, all right, bring your licking stick
Licking stick, licking stick
Licking stick, almighty, licking stick
HO! Licking stick, ha, licking stick
Licking stick
Bobby, I like the way this sound (Yeah!)
Wanna try it one more time? (One more time!)
One more time? (One more time!)
Licking stick, ha, licking stick"
6123,6123,21260,A Man Without Love (Quando M'innamoro),Engelbert Humperdinck,52,1968-05-25,,,,
6124,6124,21259,Love In Every Room,Paul Mauriat And His Orchestra,60,1968-05-25,,,,
6125,6125,21258,United,Peaches & Herb,59,1968-05-25,,,,
6126,6126,21256,Reach Out Of The Darkness,Friend And Lover,57,1968-05-25,,,,"[Pre-Chorus]
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together

[Chorus]
Reach out in the darkness
Reach out in the darkness
Reach out in the darkness
And you may find a friend

[Verse 1]
I knew a man that I did not care for
And then one day this man gave me a call
We sat and talked about things on our mind
And now this man, he is a friend of mine

[Chorus]
Reach out in the darkness
Reach out in the darkness
Reach out in the darkness
And you may find a friend
[Post-Chorus]
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together

[Verse 2]
Don't be afraid of love, don't be afraid
Don't be afraid, don't be afraid to love
Listen to me, everybody needs a little love
Everybody needs somebody that they can be thinking of
Now, reach out!

[Chorus]
Reach out in the darkness
Reach out in the darkness
Reach out in the darkness
And you may find a friend

[Post-Chorus]
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful an' how
That people are finally gettin' together
I think it's so groovy, now
That people are finally gettin' together
I think it's wonderful"
6127,6127,21262,My Shy Violet,The Mills Brothers,80,1968-05-25,,,,
6128,6128,21276,It's Over,Eddy Arnold,91,1968-05-25,,,,
6131,6131,21296,Climb Every Mountain,The Hesitations,90,1968-05-25,,,,
6133,6133,21293,Hold On,Radiants,93,1968-05-25,,,,
6138,6138,21277,You Ain't Going Nowhere,The Byrds,78,1968-05-25,,,,
6141,6141,21223,The Look Of Love,Sergio Mendes & Brasil '66,42,1968-05-25,,,,"The look, of love is in your eyes
A look that time can't disguise
The look of love is saying so much more than just words could ever say
And what my heart has heard, well it takes my breath away

I can hardly wait to hold you
Feel my arms around you
How long I have waited
Waited just to love you
Now that I have found you
You've got the look of love
It's on your face
A look that time can't erase
Be mine, tonight
Let this be just the start
Of so many nights like this
Let's take a lover's vow
And then seal it with a kiss

I can hardly wait to hold you
Feel my arms around you
How long I have waited
Waited just to love you
Now that I have found you
Don't ever go (repeat and fade)"
6143,6143,21227,Don't Sign The Paper Baby (I Want You Back),Jimmy Delphs,99,1968-05-25,,,,
6144,6144,21228,"Ready, Willing and Able",The American Breed,100,1968-05-25,,,,"Right now, you're hung up on someone
Who really don't need you
How long are you gonna fall for
The lines that he feeds you

Now you're wasting precious time
You wait for him when you know that

I'm ready, willing, and able
To give you all the love you need
I'm ready, willing, and able
I'm qualified to satisfy you

If he really, really loves you
You wouldn't be so lonesome
Sweet love shouldn't be wasted
When you know I want some

Now you need someone to care
Say the word and I'll be there

I've got a whole lotta loving
That I wanna give you
Come on, get yourself together
And let me stay with you
Girl, it's gonna be a groove
The time is right, make your move"
6152,6152,21355,Ain't Nothin' But A House Party,The Show Stoppers,97,1968-06-01,,,,
6156,6156,21373,Sky Pilot (Part One),Eric Burdon & The Animals,86,1968-06-01,,,,
6158,6158,21393,Here Come Da Judge,The Buena Vistas,94,1968-06-01,,,,
6160,6160,21388,Here Come The Judge,The Magistrates,100,1968-06-01,,,,
6176,6176,21461,It Should Have Been Me,Gladys Knight And The Pips,50,1968-06-15,,,,"[Verse 1]
I saw my love walking down the aisle
And as he passed me by
He turned to me and gave me a smile

[Verse 2]
Then the preacher, then the preacher
The preacher joined their hands
And all the people, the people began to stand
When I shouted

[Chorus]
""You know that it should have been me""
Instead of her walking with you
You know that it should have been me, oh baby
Gettin' ready to marry you, darlin', darlin', darlin'

[Verse 3]
You made a promise that we would never part
Then you turned around and you broke my little heart
Now you're standing there saying, ""I do""
Holding hands with somebody new

[Chorus]
You know that it should have been me
Instead of her standing by you
You know that it should have been me
It should have been me
Gettin' ready to say, ""I do""
[Verse 4]
Then the preacher, oh yeah
The preacher asked that there be silence, please
If any objections to this wedding
Speak now or forever or forever hold your peace

[Chorus]
Then I shouted, ""It should have been me""
You know that it should have been me
You know that it should have been me
Baby, how could you do this to me? Darlin', darlin', darlin'

It should have been me
Don't you know that it should have been me?
You know that it should have been me
It should have been me
I've been faithful to you, baby, baby, baby

It should have been me
How could you do this to me?
You know that it should have been me"
6188,6188,21408,Back In Love Again,The Buckinghams,76,1968-06-15,,,,"Here I am back in love again
And I'm happy that it's not pretend
At last I've found a girl to give my heart a whirl
Someone who's love is from a dream

So here I am back in love again
Thinkin' back I can't remember when
I thought I'd never find, this feeling in my mind
Someone whose love is what it seems

I've been lookin' for someone to love me again
I've been lookin' for someone to love me again

I thought I'd find a girl to give my heart a whirl
Someone who's love is from a dream

I've been lookin' for someone to love me again
I've been lookin' for someone to love me again

(instrumental)

(repeat & fade):
I never thought I'd find a girl to make me feel this way
I've only had these envied loves; I've thrown them all away"
6193,6193,21439,Valley Of The Dolls,King Curtis & The Kingpins,99,1968-06-15,,,,
6194,6194,21437,Lover's Holiday,Peggy Scott & Jo Jo Benson,60,1968-06-15,,,,
6195,6195,21435,D. W. Washburn,The Monkees,61,1968-06-15,,,,
6209,6209,21521,Young Birds Fly,The Cryan' Shames,99,1968-06-29,,,,
6210,6210,21520,With Pen In Hand,Billy Vera,82,1968-06-29,,,,
6212,6212,21516,Hang 'Em High,"Hugo Montenegro, His Orchestra And Chorus",87,1968-06-29,,,,
6213,6213,21515,Young Boy,Barbara Greene,88,1968-06-29,,,,
6216,6216,21508,(The Puppet Song) Whiskey On A Sunday,The Irish Rovers,83,1968-06-29,,,,
6217,6217,21507,Look Over Your Shoulder,The O'Jays,95,1968-06-29,,,,"(Verse 1)
I used to say I was sincere
Baby
But when you needed me most
I wasn't there
But if somehow you can forgive me

(Chorus)
Look over your shoulder
There I’ll be
Waiting so patiently
Just look over your shoulder
Waiting
Waiting

(Verse 2)
I know you found someone new
And I haven't the right to keep asking you
But if somehow you can forgive me

(Chorus)
Look over your shoulder
There I'll be
Just look over your shoulder
Waiting
Waiting
(Verse 3)
I know it’s not easy to find someonе who cares
Especially a love that's nеver been shared

(Outro)
If somehow you can forgive me
If somehow you can forgive me
If somehow you can forgive me
If somehow you can forgive me
Look over your shoulder
There I'll be
Waiting
Waiting
Just take one peep over your shoulder
And you're gonna find me
Just look over your shoulder
There I'll be
Waiting patiently"
6222,6222,21526,Lovin' Season,Gene And Debbe,100,1968-06-29,,,,
6223,6223,21525,Dreams Of The Everyday Housewife,Wayne Newton,94,1968-06-29,,,,
6224,6224,21543,Sealed With A Kiss,Gary Lewis And The Playboys,91,1968-06-29,,,,"[Verse 1]
Though we gotta say goodbye for the summer
Darling, I promise you this
I'll send you all my love every day in a letter
Sealed with a kiss

[Verse 2]
(Yes, it's gonna be a) cold, lonely summer
But I'll fill the emptiness
I'll send you all my dreams every day in a letter
Sealed with a kiss

[Bridge]
I'll see you in the sunlight
I'll hear your voice everywhere
I'll run to tenderly hold you
But, darling, you won't be there

[Verse 3]
I don't wanna say goodbye for the summer
Knowing the love we'll miss
Oh, let us make a pledge to meet in September
And seal it with a kiss

[Instrumental Break]
[Verse 2]
Yes, it's gonna be a cold, lonely summer
But I'll fill the emptiness
I'll send you all my dreams every day in a letter
Sealed with a kiss

[Outro]
Sealed with a kiss
Sealed with a kiss"
6226,6226,21537,Don't Take It So Hard,Paul Revere & The Raiders Featuring Mark Lindsay,60,1968-06-29,,,,
6228,6228,21530,Hitch It To The Horse,The Fantastic Johnny C,73,1968-06-29,,,,
6234,6234,21662,Alice Long (You're Still My Favorite Girlfriend),Tommy Boyce & Bobby Hart,66,1968-07-13,,,,
6238,6238,21694,To Love Somebody,The Sweet Inspirations,91,1968-07-13,,,,
6241,6241,21676,Prayer Meetin',Willie Mitchell,86,1968-07-13,,,,
6242,6242,21687,Soul-Limbo,Booker T. & The MG's,84,1968-07-13,,,,
6257,6257,21626,Send My Baby Back,Freddie Hughes,100,1968-07-13,,,,
6261,6261,21756,"1, 2, 3, Red Light",1910 Fruitgum Co.,53,1968-08-03,,,,
6263,6263,21798,God Bless Our Love,The Ballads,82,1968-08-03,,,,
6264,6264,21796,Mister Bo Jangles,Bobby Cole,88,1968-08-03,,,,
6265,6265,21792,Anyway That You Want Me,The American Breed,92,1968-08-03,,,,
6266,6266,21789,I'm Gonna Do What They Do To Me,B.B. King,85,1968-08-03,,,,"The next woman I get
She gotta have job
I'm not tryin' to be no pimp
I just don't intend to work to hard
I won't have to buy the groceries
She gotta pay the rent
She gotta fill up my car every day
And give me account of every dime she spend

I made up my mind
If this is the way life has gotta be
I'm gonna do the same thing
The same thing they been doing to me

She gotta make me think she loves me
By staying in her place
And sleep in another room
So she won't be snorin' in my face
And when I ask her for some money
To go out on the town
I want you to hand it to me smilin'
And don't you have no frown

I made up my mind baby
If this is the way life has gotta be
Yes I'm gonna do the same thing
The same thing they been doing to me
Now when I ask for some money
To go out on the town
I want you to hand it to me smilin'
And don't you be no clown
Now that might sound cold to ya baby
You might think I'm unfair
But I've been hurt so many times
Till I, I really don't care

I made up my mind baby
If this is the way life has gotta be
I'm gonna do the same thing
The same thing they been doing to me"
6267,6267,21786,Breaking Up Is Hard To Do,The Happenings,81,1968-08-03,,,,"[Intro]
Breaking up is hard to do

[Verse 1]
Don't take your love away from me!
Don't you leave my heart in misery?
If you go, then I'll be blue!
'Cuz breaking up is hard to do

[Verse 2]
Remember when you held me tight
And you kissed me all through the night
Think of all that we've been through
Breaking up is hard to do

[Chorus]
They say that breaking up is hard to do
And I know, I know that it's true!
Don't say that this is the end!
Instead of breaking up, I wish that we were making up again

[Verse 3]
I beg of you, don't say goodbye!
Won't you give our love another try?
Come on, baby, let's start a new!
'Cuz brеaking up is hard to do
[Bridge]
Instead of breaking up
I wish that we wеre making up again

[Verse 4]
I beg of you, don't say goodbye!
Won't you give our love another try?
Come on, baby, let's start a new!
'Cuz breaking up is hard to do

[Outro]
Ah!
Ah!"
6268,6268,21784,Give Me One More Chance,Wilmer And The Dukes,84,1968-08-03,,,,
6270,6270,21750,Life,Sly & The Family Stone,93,1968-08-03,,,,"[All]
Life, Life
Past the clouds
You don't have to come down

Life, Life
Tell it like it is
You don't have to die before you live

[Larry]
You might get angry some times
But don't let it turn you around
All you gotta do
Is get your livin' down

Life, Life
Past the clouds
You don't have to come down

[Sly]
You might be scared of somethin' - look at Mr. Stewart!
He's the only person he has to fear
He'd only let himself get near
He don't trust nobody

If he stopped bein' so shady
He could have a nice young lady
Life, Life
Tell it like it is
You don't have to die before you live

[Freddie]
You're gonna be sad sometime
You might wake up to find your pet is gone
But maybe
He's tired of bein' alone
Dog gets hip, it has to go
If you're lovin' you can't be sad no more

Life, Life
Past the clouds
You don't have to come down

Life, Life
Tell it like it is
You don't have to die before you live"
6272,6272,21719,People Got To Be Free,The Rascals,13,1968-08-03,,,,
6275,6275,21705,Soul Meeting,The Soul Clan,98,1968-08-03,,,,
6283,6283,21734,Light My Fire,Jose Feliciano,32,1968-08-03,,,,"[Verse 1]
You know that it would be untrue
You know that I would be a liar
If I was to say to you, hey
Girl, we couldn't get much higher

[Chorus]
Come on, baby, light my fire
Come on, baby, light my fire
Try to set the night on fire

[Verse 2]
Mm, the time for hesitation's through
There's no time to wallow in the mire
Darling, we could only lose
And our love become a funeral pyre

[Chorus]
Come on, baby, light my fire
Come on, baby, light my fire
Try to set the night on fire

[Instrumental Interlude]

[Verse 3]
Well, you know that it would be untrue
And you know that I would be a liar
If I was to go and tell you
Mama, we couldn't get much higher
[Chorus]
Yeah, come on, baby, light my fire
Come on, baby, light my fire, yeah
Try to set the night on fire, hey

[Outro]
Hey, come on, baby, light, light my fire, yeah
Come on, babe, light my fire
Don't you know it's all right?
Light my fire, light my fire, light my fire
Oh, light my fire, light my fire, light my fire, yeah, girl
Girl, you better light my fire, yeah
You better light, you better light, you better light my fire
And we're gonna get much higher
Oh, come on, girl
You know I love you, girl
You know I need you, babe
Come on, light, light, light, light my fire
Light my fire
A-light my fire
Light my fire, light my fire, light my fire
Light, light, light, light, light my, light my fire"
6285,6285,21729,Sally Had A Party,Flavor,100,1968-08-03,,,,
6286,6286,21730,Montage From How Sweet It Is (I Know That You Know),The Love Generation,99,1968-08-03,,,,
6289,6289,21868,The Fool On The Hill,Sergio Mendes & Brasil '66,61,1968-08-10,,,,"Day after day alone on the hill
The man with the foolish grin
Is keeping perfectly still
But nobody wants to know him
They can see that he's just a fool
And he never gives an answer
But the fool on the hill
Sees the sun going down
And the eyes in his head
See the world spinning around

Well on his way his head in a cloud
The man of a thousand voices
Talking percetly loud
But nobody ever hears him
Or the sound he appears to make
And he never seems to notice
But the fool on the hill
Nobody seems to like him
They can tell what he wants to do
And he never shows his feelings
But the fool on the hill"
6291,6291,21865,I Heard It Thru The Grapevine,King Curtis & The Kingpins,89,1968-08-10,,,,
6292,6292,21864,M'Lady,Sly & The Family Stone,97,1968-08-10,,,,"[Chorus]
M'lady
M'lady
M'lady
M'lady

[Verse 1]
A smile of pleasure
Beautiful and kind
A pretty face, a pretty face
Oh, what a gorgeous mind

[Verse 2]
She's a winner, hey
Give her some attention
Just thought I'd mention that

[Bridge]
Give her some time (Time, time)
Give her some time (Time, time)
Give her some time (Time, time)
Hey, hey, hey, hey, hey

[Chorus]
M'lady
M'lady
M'lady
M'lady
[Interlude]
Boo-boo-boo-nigh-ah
Boo-boo-boo-nah
Boo-boo-boo-nigh-ah
Yeah, yeah, yeah, yeah

[Outro]
M'lady
M'lady
M'lady
M'lady
M'lady..."
6298,6298,21893,Mister Nico,Four Jacks And A Jill,98,1968-08-10,,,,
6299,6299,21891,Tell Someone You Love Them,"Dino, Desi & Billy",96,1968-08-10,,,,
6302,6302,21885,Hip City - Pt. 2,Jr. Walker & The All Stars,85,1968-08-10,,,,
