,Unnamed: 0.1,Unnamed: 0,title,artist,rank,date,lyrics_x,lyrics_y,final_lyrics,lyrics-scraped
18009,18009,102621,Satisfy You,Puff Daddy Featuring R. Kelly,74,1999-09-25,,,,
18024,18024,102695,B-Please,Snoop Dogg Featuring Xzibit & Nate Dogg,81,1999-10-09,,,,
18033,18033,102881,Got Your Money,Ol' Dirty Bastard Featuring Kelis,85,1999-10-23,,,,
18055,18055,102927,"4, 5, 6",Sole Featuring JT Money & Kandi,68,1999-11-06,,,,
18065,18065,103009,Step To This,Master P Featuring D.I.G.,88,1999-11-20,,,,
18070,18070,103039,Got To Get It,Sisqo Featuring Make It Hot,92,1999-11-20,,,,
18072,18072,103161,Cowboy Take Me Away,Dixie Chicks,72,1999-12-04,,,,"[Verse 1]
I said, ""I wanna touch the earth
I wanna break it in my hands
I wanna grow something wild and unruly

I wanna sleep on the hard ground
In the comfort of your arms
On a pillow of bluebonnets
In a blanket made of stars""

Oh, it sounds good to me, I said

[Chorus]
""Cowboy, take me away
Fly this girl as high as you can, into the wild blue
Set me free, oh, I pray
Closer to Heaven above and closer to you
Closer to you""

[Verse 2]
I wanna walk and not run
I wanna skip and not fall
I wanna look at the horizon
And not see a building standing tall

I wanna be the only one
For miles and miles
Except for maybe you
And your simple smile

Oh, it sounds good to me
Yes, it sounds so good to me
[Chorus]
Cowboy, take me away
Fly this girl as high as you can, into the wild blue
Set me free, oh, I pray
Closer to Heaven above and closer to you
Closer to you

[Instrumental Break]

[Bridge]
I said, ""I wanna touch the earth
I wanna break it in my hands
I wanna grow something wild and unruly""
Oh, it sounds so good to me

[Chorus]
Cowboy, take me away
Fly this girl as high as you can, into the wild blue
Set me free, oh, I pray
Closer to Heaven above and closer to you
Closer to you
Closer to you
Cowboy, take me away
Closer to you

[Instrumental Outro]"
18079,18079,103103,Hot Boyz,"Missy ""Misdemeanor"" Elliott Featuring NAS, EVE & Q-Tip",21,1999-12-04,,,,
18083,18083,103122,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,99,1999-12-04,,,,
18091,18091,103197,The Christmas Song (Chestnuts Roasting On An Open Fire),Christina Aguilera,97,1999-12-18,,,,"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yuletide carols being sung by a choir
And folks dressed up like Eskimos

Everybody knows a turkey and some mistletoe
Help to make the season bright
Tiny tots with their eyes all aglow
Will find it hard to sleep tonight

They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh
And every mother's child is going to spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
To kids from one to ninety-two
Although its been said many times, many ways
Merry Christmas to you

They know that Santa's on his way (he's on his way)
He's loaded lots of toys and goodies on his sleigh
And every mother's child is going to spy
To see if reindeer really know how to fly

And so I'm offering this simple phrase
To kids from one to ninety-two
Although its been said many times, many ways
Merry Christmas to you"
